what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870552917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870553089
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360870553916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870554406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870554568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360870555616
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360870556516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870556897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870557066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1360870558335
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360870560002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870560522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870560676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360870561557
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1360870564025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870564521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870564704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1360870566620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1360870568341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1360870568951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1360870570594
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1360870572032
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360870572032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870573486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870616739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870621015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1360870621771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870624203
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360870624595
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360870624687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870624740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360870631386
